time,open,high,low,close,tick_volume,spread,real_volume
1708315200,2019.62,2020.51,2018.42,2020.23,971,20,0
1708316100,2020.22,2020.73,2019.49,2020.23,736,20,0
1708317000,2020.26,2022.6,2019.8,2021.96,942,20,0
1708317900,2021.94,2022.92,2021.3,2022.28,867,20,0
1708318800,2022.26,2022.41,2021.57,2022.14,719,20,0
1708319700,2022.14,2022.14,2021.1,2021.61,603,20,0
1708320600,2021.51,2021.71,2020.7,2020.8,622,20,0
1708321500,2020.79,2020.9,2019.18,2019.85,882,20,0
1708322400,2019.83,2019.93,2019.09,2019.35,731,20,0
1708323300,2019.25,2019.92,2018.25,2018.55,841,20,0
1708324200,2018.53,2019.02,2018.23,2018.77,626,20,0
1708325100,2018.85,2019.23,2018.14,2019.0,706,20,0
1708326000,2019.0,2019.17,2018.4,2018.77,534,20,0
1708326900,2018.87,2020.95,2018.5,2020.04,1048,20,0
1708327800,2019.94,2020.81,2019.45,2020.55,805,20,0
1708328700,2020.65,2021.48,2020.43,2020.67,1149,20,0
1708329600,2020.68,2021.58,2020.28,2021.25,797,20,0
1708330500,2021.36,2021.77,2020.9,2021.56,795,20,0
1708331400,2021.57,2022.52,2021.17,2022.37,1027,19,0
1708332300,2022.42,2022.62,2021.22,2021.45,1304,19,0
1708333200,2021.33,2022.19,2021.01,2022.02,1264,19,0
1708334100,2021.93,2023.04,2021.51,2021.7,1441,19,0
1708335000,2021.72,2021.91,2019.62,2020.66,1984,16,0
1708335900,2020.76,2021.25,2019.89,2020.87,1622,16,0
1708336800,2020.94,2021.28,2020.09,2020.35,1567,16,0
1708337700,2020.25,2021.28,2019.72,2020.25,1744,16,0
1708338600,2020.25,2020.71,2019.6,2020.09,1816,16,0
1708339500,2020.09,2020.42,2019.01,2020.05,1914,16,0
1708340400,2020.16,2020.59,2019.46,2020.48,1554,16,0
1708341300,2020.48,2020.77,2019.3,2019.51,1312,16,0
1708342200,2019.61,2020.31,2019.14,2020.05,1313,16,0
1708343100,2020.06,2020.46,2019.6,2020.13,979,16,0
1708344000,2020.14,2020.31,2019.27,2019.82,1160,16,0
1708344900,2019.69,2020.19,2019.37,2019.98,621,16,0
1708345800,2019.97,2020.66,2018.05,2018.8,1375,16,0
1708346700,2018.8,2019.19,2018.19,2018.89,1423,16,0
1708347600,2018.89,2019.16,2018.22,2018.49,937,16,0
1708348500,2018.5,2019.65,2018.47,2019.38,1005,16,0
1708349400,2019.39,2019.65,2018.21,2018.91,1651,16,0
1708350300,2018.95,2019.23,2018.21,2018.32,1339,16,0
1708351200,2018.3,2019.14,2017.87,2018.72,1671,16,0
1708352100,2018.72,2019.04,2018.11,2018.4,1220,16,0
1708353000,2018.41,2018.59,2016.91,2017.2,2017,16,0
1708353900,2017.22,2017.22,2015.87,2016.75,1765,16,0
1708354800,2016.71,2019.26,2016.71,2019.06,2184,16,0
1708355700,2019.05,2019.36,2017.38,2018.25,2072,16,0
1708356600,2018.11,2018.32,2016.98,2017.56,1930,16,0
1708357500,2017.56,2017.79,2016.35,2016.81,1849,16,0
1708358400,2016.81,2017.23,2015.92,2017.1,1956,16,0
1708359300,2017.07,2017.46,2016.51,2016.81,1690,16,0
1708360200,2016.81,2017.01,2016.09,2016.93,1589,16,0
1708361100,2016.82,2017.78,2015.82,2017.28,1831,16,0
1708362000,2017.27,2017.67,2016.2,2016.41,1649,16,0
1708362900,2016.41,2017.41,2016.08,2016.62,1648,16,0
1708363800,2016.63,2016.95,2015.65,2015.76,1295,16,0
1708364700,2015.76,2016.16,2014.71,2014.9,2000,16,0
1708365600,2015.0,2015.01,2013.15,2014.6,2001,16,0
1708366500,2014.8,2016.21,2014.54,2015.93,1776,16,0
1708367400,2016.03,2016.57,2015.51,2016.42,1342,16,0
1708368300,2016.42,2016.72,2015.82,2016.24,1238,16,0
1708369200,2016.25,2016.73,2015.92,2016.07,967,18,0
1708370100,2016.09,2017.14,2016.05,2017.08,920,18,0
1708371000,2017.07,2018.59,2016.75,2017.1,1380,18,0
1708371900,2017.2,2017.82,2016.74,2017.33,805,18,0
1708372800,2017.31,2018.35,2017.14,2018.06,680,18,0
1708373700,2018.16,2018.54,2017.46,2017.56,877,18,0
1708374600,2017.46,2017.77,2016.79,2017.72,635,18,0
1708375500,2017.72,2018.06,2017.52,2017.6,289,18,0
1708376400,2017.61,2018.14,2017.6,2017.95,273,18,0
1708377300,2017.96,2018.36,2017.74,2017.91,449,18,0
1708390800,2016.88,2017.12,2016.54,2016.59,442,20,0
1708391700,2016.55,2017.11,2016.19,2016.79,372,20,0
1708392600,2016.7,2016.89,2015.9,2016.27,314,20,0
1708393500,2016.13,2016.34,2015.69,2016.12,279,20,0
1708394400,2016.14,2016.43,2015.14,2015.28,421,20,0
1708395300,2015.24,2015.91,2014.87,2015.61,494,20,0
1708396200,2015.63,2016.66,2015.63,2015.74,573,20,0
1708397100,2015.71,2016.28,2014.93,2016.15,583,20,0
1708398000,2016.17,2016.41,2015.1,2015.52,580,20,0
1708398900,2015.49,2018.51,2015.46,2018.48,917,20,0
1708399800,2018.5,2019.17,2016.91,2017.3,1184,20,0
1708400700,2017.3,2018.63,2016.51,2016.9,962,20,0
1708401600,2016.9,2017.99,2016.75,2017.88,621,20,0
1708402500,2017.88,2018.28,2017.17,2018.18,474,20,0
1708403400,2018.21,2018.36,2017.52,2018.02,420,20,0
1708404300,2017.96,2018.04,2017.08,2017.48,437,20,0
1708405200,2017.55,2017.86,2016.93,2017.4,437,20,0
1708406100,2017.43,2018.71,2017.08,2018.46,394,20,0
1708407000,2018.48,2018.6,2017.91,2018.24,466,20,0
1708407900,2018.24,2018.8,2017.88,2018.24,393,20,0
1708408800,2018.24,2018.87,2018.11,2018.35,389,20,0
1708409700,2018.36,2019.37,2018.22,2019.24,483,20,0
1708410600,2019.14,2019.6,2018.49,2019.0,602,20,0
1708411500,2018.9,2019.76,2018.9,2019.39,516,20,0
1708412400,2019.49,2019.58,2018.47,2019.28,660,20,0
1708413300,2019.3,2019.51,2018.8,2019.04,482,20,0
1708414200,2019.04,2019.13,2017.62,2018.65,1006,20,0
1708415100,2018.66,2019.26,2018.27,2018.46,638,20,0
1708416000,2018.42,2018.9,2017.62,2018.53,889,20,0
1708416900,2018.53,2019.49,2018.45,2019.35,954,20,0
1708417800,2019.37,2020.35,2019.18,2020.17,1173,19,0
1708418700,2020.26,2020.9,2019.28,2019.49,1348,19,0
1708419600,2019.5,2020.38,2018.81,2020.31,1372,19,0
1708420500,2020.2,2022.94,2020.03,2022.23,1736,19,0
